variedad,ubicacion,temporada,riego,inoculante,aplicacion_fungicida,lote_numero,rinde_kg_ha
Pampeador,Venado Tuerto,2023/24,sin_riego,Control,True,L2,6621.0
Pampeador,Venado Tuerto,2024/25,sin_riego,Control,True,L1,7037.6
Pampeador,Venado Tuerto,2024/25,sin_riego,Control,False,L1,7411.4
Pampeador,Venado Tuerto,2022/23,con_riego,Control,True,L1,7965.1
Pampeador,Venado Tuerto,2022/23,con_riego,Control,False,L1,8069.1
Pampeador,Venado Tuerto,2023/24,con_riego,Control,True,L2,6947.7
Pampeador,Venado Tuerto,2022/23,sin_riego,NitroMax,True,L2,7046.7
Pampeador,Venado Tuerto,2022/23,sin_riego,NitroMax,False,L2,7104.0
Pampeador,Venado Tuerto,2023/24,sin_riego,NitroMax,False,L2,6088.5
Pampeador,Venado Tuerto,2024/25,sin_riego,NitroMax,True,L1,7206.7
Pampeador,Venado Tuerto,2024/25,sin_riego,NitroMax,False,L1,7208.5
Pampeador,Venado Tuerto,2022/23,con_riego,NitroMax,False,L1,7696.1
Pampeador,Venado Tuerto,2023/24,con_riego,NitroMax,True,L1,6885.6
Pampeador,Venado Tuerto,2023/24,con_riego,NitroMax,False,L1,6868.4
Pampeador,Venado Tuerto,2024/25,con_riego,NitroMax,True,L2,8024.2
Pampeador,Venado Tuerto,2024/25,con_riego,NitroMax,False,L1,8091.6
Pampeador,Venado Tuerto,2022/23,sin_riego,BioRaiz,True,L1,7158.1
Pampeador,Venado Tuerto,2022/23,sin_riego,BioRaiz,False,L1,7387.4
Pampeador,Venado Tuerto,2023/24,sin_riego,BioRaiz,False,L1,6889.8
Pampeador,Venado Tuerto,2024/25,sin_riego,BioRaiz,True,L1,7703.1
Pampeador,Venado Tuerto,2024/25,sin_riego,BioRaiz,False,L1,7964.5
Pampeador,Venado Tuerto,2022/23,con_riego,BioRaiz,True,L2,8687.6
Pampeador,Venado Tuerto,2022/23,con_riego,BioRaiz,False,L2,8049.6
Pampeador,Venado Tuerto,2023/24,con_riego,BioRaiz,True,L2,8151.4
Pampeador,Venado Tuerto,2023/24,con_riego,BioRaiz,False,L1,7531.3
Pampeador,Venado Tuerto,2024/25,con_riego,BioRaiz,True,L1,8772.6
Pampeador,Venado Tuerto,2024/25,con_riego,BioRaiz,False,L2,8499.0
Pampeador,Venado Tuerto,2023/24,sin_riego,TerraFix,True,L1,6134.6
Pampeador,Venado Tuerto,2023/24,sin_riego,TerraFix,False,L1,5743.8
Pampeador,Venado Tuerto,2024/25,sin_riego,TerraFix,True,L2,7002.0
Pampeador,Venado Tuerto,2024/25,sin_riego,TerraFix,False,L2,6613.4
Pampeador,Venado Tuerto,2022/23,con_riego,TerraFix,True,L1,8120.8
Pampeador,Venado Tuerto,2022/23,con_riego,TerraFix,False,L2,8274.7
Pampeador,Venado Tuerto,2023/24,con_riego,TerraFix,False,L1,6976.9
Pampeador,Venado Tuerto,2024/25,con_riego,TerraFix,True,L2,8084.6
Pampeador,Río Cuarto,2022/23,sin_riego,Control,True,L1,7796.9
Pampeador,Río Cuarto,2023/24,sin_riego,Control,True,L2,7174.0
Pampeador,Río Cuarto,2023/24,sin_riego,Control,False,L1,7566.9
Pampeador,Río Cuarto,2024/25,sin_riego,Control,True,L3,8139.2
Pampeador,Río Cuarto,2024/25,sin_riego,Control,False,L1,8637.1
Pampeador,Río Cuarto,2022/23,con_riego,Control,False,L1,8815.0
Pampeador,Río Cuarto,2023/24,con_riego,Control,False,L3,8579.8
Pampeador,Río Cuarto,2024/25,con_riego,Control,True,L3,9127.3
Pampeador,Río Cuarto,2024/25,sin_riego,NitroMax,True,L2,8372.8
Pampeador,Río Cuarto,2024/25,sin_riego,NitroMax,False,L2,8024.8
Pampeador,Río Cuarto,2022/23,con_riego,NitroMax,False,L2,8936.1
Pampeador,Río Cuarto,2023/24,con_riego,NitroMax,True,L1,8267.7
Pampeador,Río Cuarto,2024/25,con_riego,NitroMax,True,L1,8865.9
Pampeador,Río Cuarto,2024/25,con_riego,NitroMax,False,L1,9285.4
Pampeador,Río Cuarto,2022/23,sin_riego,BioRaiz,True,L2,8662.1
Pampeador,Río Cuarto,2023/24,sin_riego,BioRaiz,True,L2,7996.2
Pampeador,Río Cuarto,2024/25,sin_riego,BioRaiz,True,L3,9060.4
Pampeador,Río Cuarto,2024/25,sin_riego,BioRaiz,False,L2,9035.8
Pampeador,Río Cuarto,2022/23,con_riego,BioRaiz,True,L1,9325.0
Pampeador,Río Cuarto,2024/25,con_riego,BioRaiz,True,L2,9684.5
Pampeador,Río Cuarto,2022/23,sin_riego,TerraFix,True,L1,7825.4
Pampeador,Río Cuarto,2022/23,sin_riego,TerraFix,False,L2,8006.5
Pampeador,Río Cuarto,2023/24,sin_riego,TerraFix,True,L3,7182.1
Pampeador,Río Cuarto,2024/25,sin_riego,TerraFix,False,L1,8603.6
Pampeador,Río Cuarto,2023/24,con_riego,TerraFix,True,L3,8401.8
Pampeador,Río Cuarto,2024/25,con_riego,TerraFix,True,L1,9039.0
Pampeador,Junín,2023/24,sin_riego,Control,True,L1,6834.2
Pampeador,Junín,2023/24,sin_riego,Control,False,L1,5892.2
Pampeador,Junín,2024/25,sin_riego,Control,False,L1,6736.1
Pampeador,Junín,2023/24,con_riego,Control,True,L2,7672.8
Pampeador,Junín,2024/25,con_riego,Control,True,L1,8266.9
Pampeador,Junín,2024/25,con_riego,Control,False,L2,8320.1
Pampeador,Junín,2022/23,sin_riego,NitroMax,True,L1,6778.6
Pampeador,Junín,2022/23,sin_riego,NitroMax,False,L2,7143.5
Pampeador,Junín,2024/25,sin_riego,NitroMax,True,L2,7861.0
Pampeador,Junín,2024/25,sin_riego,NitroMax,False,L2,7530.8
Pampeador,Junín,2022/23,con_riego,NitroMax,True,L1,8147.5
Pampeador,Junín,2023/24,con_riego,NitroMax,True,L1,7327.1
Pampeador,Junín,2024/25,con_riego,NitroMax,False,L1,8139.5
Pampeador,Junín,2022/23,sin_riego,BioRaiz,True,L1,7033.8
Pampeador,Junín,2022/23,sin_riego,BioRaiz,False,L1,7702.1
Pampeador,Junín,2023/24,sin_riego,BioRaiz,True,L1,7216.7
Pampeador,Junín,2024/25,sin_riego,BioRaiz,True,L2,7338.8
Pampeador,Junín,2024/25,sin_riego,BioRaiz,False,L2,7594.8
Pampeador,Junín,2022/23,con_riego,BioRaiz,True,L2,8255.9
Pampeador,Junín,2023/24,con_riego,BioRaiz,True,L2,7659.7
Pampeador,Junín,2023/24,con_riego,BioRaiz,False,L1,7945.0
Pampeador,Junín,2022/23,sin_riego,TerraFix,False,L1,6566.4
Pampeador,Junín,2023/24,sin_riego,TerraFix,True,L1,6672.0
Pampeador,Junín,2024/25,sin_riego,TerraFix,True,L1,7511.1
Pampeador,Junín,2024/25,sin_riego,TerraFix,False,L1,7229.7
Pampeador,Junín,2023/24,con_riego,TerraFix,True,L1,6755.4
Pampeador,Junín,2023/24,con_riego,TerraFix,False,L1,7171.0
Pampeador,Junín,2024/25,con_riego,TerraFix,False,L2,8595.2
Pampeador,Marcos Juárez,2022/23,sin_riego,Control,False,L2,7022.2
Pampeador,Marcos Juárez,2024/25,sin_riego,Control,True,L2,8372.7
Pampeador,Marcos Juárez,2024/25,sin_riego,Control,False,L1,7619.6
Pampeador,Marcos Juárez,2022/23,con_riego,Control,True,L2,9495.3
Pampeador,Marcos Juárez,2022/23,con_riego,Control,False,L3,8561.0
Pampeador,Marcos Juárez,2023/24,con_riego,Control,True,L2,8733.1
Pampeador,Marcos Juárez,2024/25,con_riego,Control,True,L2,9578.3
Pampeador,Marcos Juárez,2024/25,con_riego,Control,False,L3,9414.1
Pampeador,Marcos Juárez,2022/23,sin_riego,NitroMax,True,L2,8263.2
Pampeador,Marcos Juárez,2022/23,sin_riego,NitroMax,False,L1,7905.3
Pampeador,Marcos Juárez,2023/24,sin_riego,NitroMax,True,L3,7254.2
Pampeador,Marcos Juárez,2024/25,sin_riego,NitroMax,True,L1,8803.3
Pampeador,Marcos Juárez,2024/25,sin_riego,NitroMax,False,L3,7737.1
Pampeador,Marcos Juárez,2022/23,con_riego,NitroMax,False,L3,8593.0
Pampeador,Marcos Juárez,2023/24,con_riego,NitroMax,True,L3,8613.8
Pampeador,Marcos Juárez,2024/25,con_riego,NitroMax,False,L1,8462.4
Pampeador,Marcos Juárez,2023/24,sin_riego,BioRaiz,True,L2,8214.1
Pampeador,Marcos Juárez,2023/24,sin_riego,BioRaiz,False,L3,7900.9
Pampeador,Marcos Juárez,2024/25,sin_riego,BioRaiz,True,L1,9032.0
Pampeador,Marcos Juárez,2024/25,sin_riego,BioRaiz,False,L2,7985.1
Pampeador,Marcos Juárez,2022/23,con_riego,BioRaiz,False,L1,9195.3
Pampeador,Marcos Juárez,2023/24,con_riego,BioRaiz,True,L3,9307.8
Pampeador,Marcos Juárez,2024/25,con_riego,BioRaiz,False,L2,8854.2
Pampeador,Marcos Juárez,2022/23,sin_riego,TerraFix,True,L2,8019.1
Pampeador,Marcos Juárez,2023/24,sin_riego,TerraFix,False,L3,7395.4
Pampeador,Marcos Juárez,2024/25,sin_riego,TerraFix,True,L1,8545.6
Pampeador,Marcos Juárez,2022/23,con_riego,TerraFix,False,L3,8865.4
Pampeador,Marcos Juárez,2023/24,con_riego,TerraFix,False,L2,8620.7
Pampeador,Marcos Juárez,2024/25,con_riego,TerraFix,True,L1,9551.2
Pampeador,Tandil,2022/23,sin_riego,Control,False,L2,6884.2
Pampeador,Tandil,2023/24,sin_riego,Control,True,L1,7329.0
Pampeador,Tandil,2024/25,sin_riego,Control,True,L2,7310.1
Pampeador,Tandil,2022/23,con_riego,Control,True,L2,7946.6
Pampeador,Tandil,2022/23,con_riego,Control,False,L1,7769.8
Pampeador,Tandil,2024/25,con_riego,Control,True,L1,8442.9
Pampeador,Tandil,2022/23,sin_riego,NitroMax,False,L1,6552.5
Pampeador,Tandil,2023/24,sin_riego,NitroMax,False,L1,5760.9
Pampeador,Tandil,2022/23,con_riego,NitroMax,True,L1,8816.8
Pampeador,Tandil,2022/23,con_riego,NitroMax,False,L2,7741.5
Pampeador,Tandil,2024/25,con_riego,NitroMax,True,L1,8115.0
Pampeador,Tandil,2022/23,sin_riego,BioRaiz,True,L2,7956.5
Pampeador,Tandil,2022/23,sin_riego,BioRaiz,False,L2,7149.4
Pampeador,Tandil,2023/24,sin_riego,BioRaiz,False,L1,6459.2
Pampeador,Tandil,2024/25,sin_riego,BioRaiz,True,L2,8007.4
Pampeador,Tandil,2022/23,con_riego,BioRaiz,True,L1,8288.3
Pampeador,Tandil,2023/24,con_riego,BioRaiz,True,L1,8098.7
Pampeador,Tandil,2023/24,con_riego,BioRaiz,False,L2,8015.6
Pampeador,Tandil,2024/25,con_riego,BioRaiz,True,L1,8930.5
Pampeador,Tandil,2024/25,con_riego,BioRaiz,False,L1,8174.7
Pampeador,Tandil,2022/23,sin_riego,TerraFix,True,L1,7078.0
Pampeador,Tandil,2022/23,sin_riego,TerraFix,False,L2,6585.1
Pampeador,Tandil,2023/24,sin_riego,TerraFix,False,L1,5978.9
Pampeador,Tandil,2024/25,sin_riego,TerraFix,True,L1,7264.2
Pampeador,Tandil,2024/25,sin_riego,TerraFix,False,L1,7106.6
Pampeador,Tandil,2022/23,con_riego,TerraFix,True,L2,7684.7
Pampeador,Tandil,2023/24,con_riego,TerraFix,False,L2,7241.4
Pampeador,Tandil,2024/25,con_riego,TerraFix,True,L1,8213.7
Pampeador,Tandil,2024/25,con_riego,TerraFix,False,L2,7905.5
Sudestada,Pergamino,2022/23,sin_riego,Control,True,L2,9304.4
Sudestada,Pergamino,2022/23,sin_riego,Control,False,L2,9472.0
Sudestada,Pergamino,2023/24,sin_riego,Control,True,L3,9318.8
Sudestada,Pergamino,2023/24,sin_riego,Control,False,L1,8718.7
Sudestada,Pergamino,2024/25,sin_riego,Control,True,L3,9345.9
Sudestada,Pergamino,2022/23,con_riego,Control,False,L2,10282.2
Sudestada,Pergamino,2022/23,sin_riego,NitroMax,True,L2,9733.4
Sudestada,Pergamino,2022/23,sin_riego,NitroMax,False,L3,8650.5
Sudestada,Pergamino,2023/24,sin_riego,NitroMax,True,L1,8963.2
Sudestada,Pergamino,2023/24,sin_riego,NitroMax,False,L3,8552.1
Sudestada,Pergamino,2024/25,sin_riego,NitroMax,True,L2,9925.7
Sudestada,Pergamino,2024/25,sin_riego,NitroMax,False,L1,9299.6
Sudestada,Pergamino,2022/23,con_riego,NitroMax,True,L1,10651.5
Sudestada,Pergamino,2023/24,con_riego,NitroMax,False,L1,9812.6
Sudestada,Pergamino,2024/25,con_riego,NitroMax,False,L3,10543.3
Sudestada,Pergamino,2023/24,sin_riego,BioRaiz,True,L1,8647.2
Sudestada,Pergamino,2023/24,sin_riego,BioRaiz,False,L2,8841.1
Sudestada,Pergamino,2024/25,sin_riego,BioRaiz,True,L3,10203.9
Sudestada,Pergamino,2022/23,con_riego,BioRaiz,True,L3,10559.4
Sudestada,Pergamino,2023/24,con_riego,BioRaiz,False,L1,9906.4
Sudestada,Pergamino,2024/25,con_riego,BioRaiz,False,L3,11029.7
Sudestada,Pergamino,2022/23,sin_riego,TerraFix,True,L3,9315.8
Sudestada,Pergamino,2022/23,sin_riego,TerraFix,False,L1,9194.2
Sudestada,Pergamino,2023/24,sin_riego,TerraFix,False,L1,8193.6
Sudestada,Pergamino,2024/25,sin_riego,TerraFix,True,L1,9581.9
Sudestada,Pergamino,2024/25,sin_riego,TerraFix,False,L2,9663.7
Sudestada,Pergamino,2023/24,con_riego,TerraFix,True,L1,9768.1
Sudestada,Pergamino,2023/24,con_riego,TerraFix,False,L3,9529.4
Sudestada,Pergamino,2024/25,con_riego,TerraFix,False,L3,9676.1
Sudestada,Venado Tuerto,2023/24,sin_riego,Control,True,L1,8271.4
Sudestada,Venado Tuerto,2023/24,sin_riego,Control,False,L2,7918.7
Sudestada,Venado Tuerto,2022/23,con_riego,Control,True,L2,9298.9
Sudestada,Venado Tuerto,2023/24,con_riego,Control,True,L2,8861.2
Sudestada,Venado Tuerto,2023/24,con_riego,Control,False,L1,8305.3
Sudestada,Venado Tuerto,2024/25,con_riego,Control,True,L2,9831.1
Sudestada,Venado Tuerto,2024/25,con_riego,Control,False,L2,9409.3
Sudestada,Venado Tuerto,2023/24,sin_riego,NitroMax,True,L2,7692.9
Sudestada,Venado Tuerto,2023/24,sin_riego,NitroMax,False,L1,7612.3
Sudestada,Venado Tuerto,2024/25,sin_riego,NitroMax,True,L1,8387.4
Sudestada,Venado Tuerto,2024/25,sin_riego,NitroMax,False,L1,8744.5
Sudestada,Venado Tuerto,2022/23,con_riego,NitroMax,True,L2,9421.7
Sudestada,Venado Tuerto,2022/23,con_riego,NitroMax,False,L2,9532.5
Sudestada,Venado Tuerto,2023/24,con_riego,NitroMax,True,L1,8697.5
Sudestada,Venado Tuerto,2023/24,con_riego,NitroMax,False,L2,8843.7
Sudestada,Venado Tuerto,2024/25,con_riego,NitroMax,True,L1,9382.7
Sudestada,Venado Tuerto,2022/23,sin_riego,BioRaiz,True,L2,9504.3
Sudestada,Venado Tuerto,2022/23,sin_riego,BioRaiz,False,L2,8441.0
Sudestada,Venado Tuerto,2023/24,sin_riego,BioRaiz,True,L1,8583.1
Sudestada,Venado Tuerto,2023/24,sin_riego,BioRaiz,False,L2,8613.0
Sudestada,Venado Tuerto,2024/25,sin_riego,BioRaiz,False,L2,8791.4
Sudestada,Venado Tuerto,2022/23,con_riego,BioRaiz,True,L1,10454.2
Sudestada,Venado Tuerto,2022/23,con_riego,BioRaiz,False,L1,10108.7
Sudestada,Venado Tuerto,2023/24,con_riego,BioRaiz,True,L1,9451.9
Sudestada,Venado Tuerto,2023/24,con_riego,BioRaiz,False,L2,9187.8
Sudestada,Venado Tuerto,2024/25,con_riego,BioRaiz,True,L1,9919.2
Sudestada,Venado Tuerto,2022/23,sin_riego,TerraFix,True,L1,8341.4
Sudestada,Venado Tuerto,2022/23,sin_riego,TerraFix,False,L1,8509.3
Sudestada,Venado Tuerto,2023/24,sin_riego,TerraFix,True,L2,8142.3
Sudestada,Venado Tuerto,2023/24,sin_riego,TerraFix,False,L1,7800.8
Sudestada,Venado Tuerto,2024/25,sin_riego,TerraFix,True,L2,8294.8
Sudestada,Venado Tuerto,2022/23,con_riego,TerraFix,True,L1,9580.8
Sudestada,Venado Tuerto,2022/23,con_riego,TerraFix,False,L1,9607.9
Sudestada,Venado Tuerto,2023/24,con_riego,TerraFix,True,L1,8883.3
Sudestada,Venado Tuerto,2023/24,con_riego,TerraFix,False,L2,8908.7
Sudestada,Venado Tuerto,2024/25,con_riego,TerraFix,True,L2,9424.1
Sudestada,Venado Tuerto,2024/25,con_riego,TerraFix,False,L1,9239.9
Sudestada,Río Cuarto,2022/23,sin_riego,Control,False,L1,9256.9
Sudestada,Río Cuarto,2023/24,sin_riego,Control,False,L3,8392.1
Sudestada,Río Cuarto,2024/25,sin_riego,Control,False,L1,9716.3
Sudestada,Río Cuarto,2022/23,con_riego,Control,True,L3,10426.6
Sudestada,Río Cuarto,2022/23,con_riego,Control,False,L1,10326.8
Sudestada,Río Cuarto,2023/24,con_riego,Control,False,L2,8972.4
Sudestada,Río Cuarto,2024/25,con_riego,Control,True,L3,10250.8
Sudestada,Río Cuarto,2024/25,con_riego,Control,False,L3,10913.8
Sudestada,Río Cuarto,2022/23,sin_riego,NitroMax,True,L1,9313.9
Sudestada,Río Cuarto,2022/23,sin_riego,NitroMax,False,L1,9601.0
Sudestada,Río Cuarto,2024/25,sin_riego,NitroMax,True,L3,9260.6
Sudestada,Río Cuarto,2024/25,sin_riego,NitroMax,False,L3,10052.8
Sudestada,Río Cuarto,2022/23,con_riego,NitroMax,False,L3,10409.7
Sudestada,Río Cuarto,2023/24,con_riego,NitroMax,True,L2,9881.2
Sudestada,Río Cuarto,2023/24,con_riego,NitroMax,False,L2,10451.2
Sudestada,Río Cuarto,2022/23,sin_riego,BioRaiz,True,L3,10404.6
Sudestada,Río Cuarto,2022/23,sin_riego,BioRaiz,False,L1,9894.2
Sudestada,Río Cuarto,2023/24,sin_riego,BioRaiz,True,L1,9163.9
Sudestada,Río Cuarto,2023/24,sin_riego,BioRaiz,False,L1,9238.8
Sudestada,Río Cuarto,2022/23,con_riego,BioRaiz,True,L1,11072.8
Sudestada,Río Cuarto,2023/24,con_riego,BioRaiz,True,L3,10250.5
Sudestada,Río Cuarto,2024/25,con_riego,BioRaiz,True,L1,10969.3
Sudestada,Río Cuarto,2024/25,con_riego,BioRaiz,False,L2,11490.8
Sudestada,Río Cuarto,2022/23,sin_riego,TerraFix,True,L3,9468.0
Sudestada,Río Cuarto,2022/23,sin_riego,TerraFix,False,L3,10143.9
Sudestada,Río Cuarto,2023/24,sin_riego,TerraFix,True,L3,8875.4
Sudestada,Río Cuarto,2024/25,sin_riego,TerraFix,True,L2,10149.9
Sudestada,Río Cuarto,2024/25,sin_riego,TerraFix,False,L1,9750.0
Sudestada,Río Cuarto,2022/23,con_riego,TerraFix,True,L3,10719.6
Sudestada,Río Cuarto,2022/23,con_riego,TerraFix,False,L3,10247.1
Sudestada,Río Cuarto,2023/24,con_riego,TerraFix,False,L3,9560.9
Sudestada,Río Cuarto,2024/25,con_riego,TerraFix,False,L3,10728.7
Sudestada,Junín,2022/23,sin_riego,Control,True,L2,8926.8
Sudestada,Junín,2022/23,sin_riego,Control,False,L1,8661.3
Sudestada,Junín,2022/23,con_riego,Control,True,L1,9239.8
Sudestada,Junín,2022/23,con_riego,Control,False,L1,9219.1
Sudestada,Junín,2023/24,con_riego,Control,True,L2,8550.4
Sudestada,Junín,2023/24,con_riego,Control,False,L1,8455.1
Sudestada,Junín,2024/25,con_riego,Control,True,L1,9780.7
Sudestada,Junín,2022/23,sin_riego,NitroMax,True,L2,8965.0
Sudestada,Junín,2022/23,sin_riego,NitroMax,False,L2,8646.2
Sudestada,Junín,2023/24,sin_riego,NitroMax,True,L1,7367.1
Sudestada,Junín,2024/25,sin_riego,NitroMax,True,L2,8746.6
Sudestada,Junín,2024/25,sin_riego,NitroMax,False,L1,8754.4
Sudestada,Junín,2022/23,con_riego,NitroMax,True,L2,10186.9
Sudestada,Junín,2022/23,con_riego,NitroMax,False,L2,9192.0
Sudestada,Junín,2023/24,con_riego,NitroMax,True,L1,8840.6
Sudestada,Junín,2023/24,con_riego,NitroMax,False,L1,9427.6
Sudestada,Junín,2024/25,con_riego,NitroMax,True,L2,9876.0
Sudestada,Junín,2024/25,con_riego,NitroMax,False,L2,9907.7
Sudestada,Junín,2022/23,sin_riego,BioRaiz,True,L1,9162.1
Sudestada,Junín,2022/23,sin_riego,BioRaiz,False,L2,9222.4
Sudestada,Junín,2023/24,sin_riego,BioRaiz,True,L2,8697.7
Sudestada,Junín,2023/24,sin_riego,BioRaiz,False,L1,8253.3
Sudestada,Junín,2024/25,sin_riego,BioRaiz,False,L1,9525.9
Sudestada,Junín,2022/23,con_riego,BioRaiz,True,L2,9695.6
Sudestada,Junín,2023/24,con_riego,BioRaiz,True,L1,9521.9
Sudestada,Junín,2024/25,con_riego,BioRaiz,False,L2,10280.0
Sudestada,Junín,2024/25,sin_riego,TerraFix,True,L1,8627.4
Sudestada,Junín,2024/25,sin_riego,TerraFix,False,L1,8793.6
Sudestada,Junín,2022/23,con_riego,TerraFix,False,L2,9425.7
Sudestada,Junín,2023/24,con_riego,TerraFix,True,L2,8649.9
Sudestada,Junín,2024/25,con_riego,TerraFix,False,L1,9651.0
Sudestada,Marcos Juárez,2022/23,sin_riego,Control,True,L1,9510.9
Sudestada,Marcos Juárez,2024/25,sin_riego,Control,False,L1,9540.4
Sudestada,Marcos Juárez,2022/23,con_riego,Control,True,L2,10448.0
Sudestada,Marcos Juárez,2022/23,con_riego,Control,False,L2,10449.4
Sudestada,Marcos Juárez,2023/24,con_riego,Control,True,L3,9789.2
Sudestada,Marcos Juárez,2024/25,con_riego,Control,True,L3,10761.4
Sudestada,Marcos Juárez,2024/25,con_riego,Control,False,L3,10225.1
Sudestada,Marcos Juárez,2023/24,sin_riego,NitroMax,True,L1,9541.0
Sudestada,Marcos Juárez,2023/24,sin_riego,NitroMax,False,L2,8742.5
Sudestada,Marcos Juárez,2024/25,sin_riego,NitroMax,True,L1,9910.7
Sudestada,Marcos Juárez,2024/25,sin_riego,NitroMax,False,L2,9589.6
Sudestada,Marcos Juárez,2022/23,con_riego,NitroMax,True,L3,10180.0
Sudestada,Marcos Juárez,2022/23,con_riego,NitroMax,False,L2,10237.9
Sudestada,Marcos Juárez,2024/25,con_riego,NitroMax,False,L3,10959.3
Sudestada,Marcos Juárez,2022/23,sin_riego,BioRaiz,True,L1,10337.1
Sudestada,Marcos Juárez,2024/25,sin_riego,BioRaiz,True,L1,10469.0
Sudestada,Marcos Juárez,2022/23,con_riego,BioRaiz,True,L3,11403.5
Sudestada,Marcos Juárez,2022/23,con_riego,BioRaiz,False,L3,10980.8
Sudestada,Marcos Juárez,2024/25,con_riego,BioRaiz,True,L3,10840.7
Sudestada,Marcos Juárez,2022/23,sin_riego,TerraFix,False,L1,8828.9
Sudestada,Marcos Juárez,2023/24,sin_riego,TerraFix,True,L2,9228.9
Sudestada,Marcos Juárez,2023/24,sin_riego,TerraFix,False,L2,8449.8
Sudestada,Marcos Juárez,2024/25,sin_riego,TerraFix,True,L2,10337.4
Sudestada,Marcos Juárez,2024/25,sin_riego,TerraFix,False,L1,9361.8
Sudestada,Marcos Juárez,2022/23,con_riego,TerraFix,True,L1,10228.3
Sudestada,Marcos Juárez,2022/23,con_riego,TerraFix,False,L3,9895.0
Sudestada,Marcos Juárez,2023/24,con_riego,TerraFix,True,L1,9350.1
Sudestada,Marcos Juárez,2023/24,con_riego,TerraFix,False,L1,9534.4
Sudestada,Marcos Juárez,2024/25,con_riego,TerraFix,True,L3,10867.3
Sudestada,Marcos Juárez,2024/25,con_riego,TerraFix,False,L1,10281.2
Sudestada,Tandil,2022/23,sin_riego,Control,False,L2,8502.1
Sudestada,Tandil,2023/24,sin_riego,Control,False,L1,7885.6
Sudestada,Tandil,2024/25,sin_riego,Control,True,L1,8822.3
Sudestada,Tandil,2022/23,con_riego,Control,False,L1,8552.3
Sudestada,Tandil,2023/24,con_riego,Control,True,L1,9192.8
Sudestada,Tandil,2023/24,con_riego,Control,False,L1,8655.5
Sudestada,Tandil,2024/25,con_riego,Control,True,L2,9906.6
Sudestada,Tandil,2024/25,con_riego,Control,False,L1,9574.8
Sudestada,Tandil,2022/23,sin_riego,NitroMax,True,L2,8393.8
Sudestada,Tandil,2023/24,sin_riego,NitroMax,True,L1,8632.5
Sudestada,Tandil,2023/24,sin_riego,NitroMax,False,L1,7281.4
Sudestada,Tandil,2024/25,sin_riego,NitroMax,False,L1,8559.8
Sudestada,Tandil,2023/24,con_riego,NitroMax,True,L2,8547.5
Sudestada,Tandil,2023/24,con_riego,NitroMax,False,L2,8239.5
Sudestada,Tandil,2024/25,con_riego,NitroMax,True,L2,10244.6
Sudestada,Tandil,2022/23,sin_riego,BioRaiz,True,L2,9126.9
Sudestada,Tandil,2022/23,sin_riego,BioRaiz,False,L1,8915.2
Sudestada,Tandil,2023/24,sin_riego,BioRaiz,True,L2,8616.3
